DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
62.7026,-141.8729,-204.5754,-326.2632,0.6790,6.5061,0.6490,-5.8571
230.6567,-326.0606,-556.7173,-241.3618,0.9199,48.9898,274.8993,225.9095
259.4495,233.9023,-25.5472,-9.8467,0.9981,9.9650,33.1924,23.2274
463.4821,442.1947,-21.2874,-4.5929,0.9908,32.4756,48.0423,15.5667
509.7619,470.9844,-38.7776,-7.6070,0.6434,32.8071,87.2503,54.4432
636.8517,571.3427,-65.5090,-10.2864,0.9770,8.6752,64.6896,56.0144
671.9796,241.2913,-430.6883,-64.0925,0.8372,102.0848,618.1409,516.0561
926.0826,711.1666,-214.9159,-23.2070,0.9858,3.6437,283.0381,279.3944
943.9386,675.1227,-268.8159,-28.4781,0.8831,162.6510,1232.1954,1069.5444
1140.6514,1028.6490,-112.0023,-9.8192,0.7909,124.1561,545.1867,421.0306
1184.9393,924.8057,-260.1337,-21.9533,0.9377,0.9367,1.2490,0.3123
1319.7426,1327.5050,7.7624,0.5882,0.6604,12.9475,99.2566,86.3091
1392.6805,1241.4840,-151.1965,-10.8565,0.9259,0.2946,98.3604,98.0658
1412.9875,969.2124,-443.7751,-31.4069,0.8095,23.0673,1.1621,-21.9052
1470.1196,1293.8630,-176.2567,-11.9893,0.9787,11.1066,59.2531,48.1465
1687.4235,1553.6163,-133.8071,-7.9297,0.9963,19.2429,828.2403,808.9974
1846.1780,1843.4014,-2.7765,-0.1504,0.9664,256.2058,305.2395,49.0337
3053.2515,2983.2428,-70.0087,-2.2929,0.9995,17.1131,18.2106,1.0975
3090.6928,3021.6056,-69.0872,-2.2353,0.9999,9.6996,33.8263,24.1267
3497.8809,3479.8985,-17.9824,-0.5141,0.9992,0.3621,469.3439,468.9818
3572.6161,3570.1312,-2.4849,-0.0696,0.9991,0.9709,851.0438,850.0729
3746.2802,3793.7517,47.4715,1.2672,0.9997,41.6802,621.8796,580.1994
